SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000YQHE,13.86,1.73,1.26,7.95,2.95,14.73,-5.35,-7.58,4.44,-3.11
F00000YQHF,13.86,1.73,1.26,7.95,2.95,14.73,-5.35,-7.58,4.44,-3.11
F0GBR05B96,14.04,1.51,1.3,8.66,2.98,15.98,-7.27,-8.22,-2.41,-2.49
F0GBR04UN1,14.04,1.51,1.3,8.66,2.98,15.98,-7.27,-8.22,-2.41,-2.49
F0GBR06I25,14.04,1.51,1.3,8.66,2.98,15.98,-7.27,-8.22,-2.41,-2.49
F00000YQJW,14.04,1.51,1.3,8.66,2.98,15.98,-7.27,-8.22,-2.41,-2.49
F0GBR04OC3,14.44,1.55,1.27,8.74,2.75,15.9,-8.8,-8.03,-0.11,-2.87
F00000OTTN,16.28,2.39,1.84,14.09,2.04,12.49,-7.32,-8.54,-4.13,-1.33
F000001U4X,16.28,2.39,1.84,14.09,2.04,12.49,-7.32,-8.54,-4.13,-1.33
F00000OYV1,13.52,1.68,1.41,10.71,2.92,10.37,-5.81,-5.68,-3.27,0.78
F0GBR06JTX,13.52,1.68,1.41,10.71,2.92,10.37,-5.81,-5.68,-3.27,0.78
F0GBR068AV,13.52,1.68,1.41,10.71,2.92,10.37,-5.81,-5.68,-3.27,0.78
F00000YQJX,14.44,1.55,1.27,8.74,2.75,15.9,-8.8,-8.03,-0.11,-2.87
